12.34	-3.21	0.56	45.00	-8.90	0.05	12.01	4.40	-2.33	16.00	0.00	99.90	-7.77	3.14	8.88
23.50	7.30	8.20	-35.45	9.12	0.05	12.01	1.10	2.22	3.33	4.44	5.55	6.66	7.77	8.88
23.00	5.60	9.30	4.40	8.00	0.00	20.00	11.11	12.12	13.13	14.14	15.15	16.16	17.17	18.18
1.40	4.30	9.40	2.22	3.33	0.70	43.00	-1.10	-2.20	-3.30	-4.40	-5.50	-6.60	-7.70	-8.80
23.80	6.08	4.12	90.90	60.60	34.70	5.50	0.25	0.50	0.75	1.00	1.25	1.50	1.75	2.00
11.11	22.22	33.33	44.44	55.55	66.66	77.77	88.88	99.99	-10.10	-20.20	-30.30	0.01	0.02	0.03
0.12	0.24	0.36	0.48	0.60	0.72	0.84	0.96	1.08	1.20	1.32	1.44	1.56	1.68	1.80
9.99	8.88	7.77	6.66	5.55	4.44	3.33	2.22	1.11	0.00	-0.11	-0.22	-0.33	-0.44	-0.55
13.37	42.00	21.21	34.34	56.56	78.78	90.90	12.12	23.23	34.34	45.45	56.56	67.67	78.78	89.89
2.71	3.14	1.61	0.57	-0.33	4.40	5.50	6.60	7.70	8.80	9.90	10.10	11.11	12.12	13.13
14.00	15.00	16.00	17.00	18.00	19.00	20.00	21.00	22.00	23.00	24.00	25.00	26.00	27.00	28.00
0.05	-0.05	0.10	-0.10	0.20	-0.20	0.40	-0.40	0.80	-0.80	1.60	-1.60	3.20	-3.20	6.40
31.41	41.59	26.53	58.97	93.23	84.62	64.38	12.34	23.45	34.56	45.67	56.78	67.89	78.90	89.01
7.25	14.50	21.75	29.00	36.25	43.50	50.75	58.00	65.25	72.50	79.75	87.00	94.25	101.50	108.75
99.00	88.00	77.00	66.00	55.00	44.00	33.00	22.00	11.00	0.00	-11.00	-22.00	-33.00	-44.00	-55.00
